,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation,min_unfairness_vals
103,0,0.51,Test,0.6039999723434448,0.02097797393798828,0.666455090045929,0.04224102944135666,0.02097797393798828
101,0,0.5,Test,0.6119999885559082,0.023597151041030884,0.6639401316642761,0.04756470024585724,0.023597151041030884
89,0,0.44,Test,0.6150000095367432,0.037678420543670654,0.6519086956977844,0.07612054795026779,0.026119917631149292
93,0,0.46,Test,0.6150000095367432,0.03323104977607727,0.6554663777351379,0.06705597043037415,0.026119917631149292
97,0,0.48,Test,0.6159999966621399,0.028560340404510498,0.6594340205192566,0.05760223791003227,0.026119917631149292
95,0,0.47000000000000003,Test,0.6159999966621399,0.03092736005783081,0.6573923230171204,0.06238800287246704,0.026119917631149292
91,0,0.45,Test,0.6169999837875366,0.035479187965393066,0.6536422371864319,0.07162775099277496,0.026119917631149292
99,0,0.49,Test,0.6169999837875366,0.026119917631149292,0.6616098880767822,0.05267053470015526,0.026119917631149292
87,0,0.43,Test,0.6230000257492065,0.03983426094055176,0.6502565741539001,0.0805491954088211,0.03983426094055176
85,0,0.42,Test,0.6240000128746033,0.04195159673690796,0.6486786007881165,0.08492633700370789,0.04195159673690796
83,0,0.41000000000000003,Test,0.628000020980835,0.04403465986251831,0.6471682786941528,0.08926306664943695,0.04403465986251831
81,0,0.4,Test,0.6290000081062317,0.04608720541000366,0.6457201242446899,0.09356915950775146,0.04608720541000366
79,0,0.39,Test,0.6320000290870667,0.04811254143714905,0.6443299651145935,0.09785272926092148,0.04811254143714905
77,0,0.38,Test,0.6330000162124634,0.05011332035064697,0.642993688583374,0.10212219506502151,0.05011332035064697
75,0,0.37,Test,0.6340000033378601,0.052092283964157104,0.6417081356048584,0.1063845232129097,0.052092283964157104
73,0,0.36,Test,0.6370000243186951,0.05405178666114807,0.6404704451560974,0.11064606159925461,0.05405178666114807
67,0,0.33,Test,0.640999972820282,0.059832483530044556,0.6370220184326172,0.1234869435429573,0.055993616580963135
71,0,0.35000000000000003,Test,0.640999972820282,0.055993616580963135,0.6392782330513,0.11491303145885468,0.055993616580963135
69,0,0.34,Test,0.6420000195503235,0.05792000889778137,0.6381294131278992,0.119191475212574,0.05792000889778137
65,0,0.32,Test,0.6480000019073486,0.061732709407806396,0.635954737663269,0.12780451774597168,0.061732709407806396
63,0,0.31,Test,0.6489999890327454,0.06362205743789673,0.6349261403083801,0.13214948773384094,0.06362205743789673
61,0,0.3,Test,0.6499999761581421,0.06550177931785583,0.6339350342750549,0.13652698695659637,0.06550177931785583
59,0,0.29,Test,0.6520000100135803,0.067373126745224,0.6329808235168457,0.14094196259975433,0.067373126745224
57,0,0.28,Test,0.6549999713897705,0.06923756003379822,0.6320624947547913,0.1453993022441864,0.06923756003379822
33,0,0.16,Test,0.656000018119812,0.09138280153274536,0.6237872838973999,0.20403926074504852,0.07109567523002625
55,0,0.27,Test,0.6570000052452087,0.07109567523002625,0.6311795711517334,0.14990393817424774,0.07109567523002625
17,0,0.08,Test,0.6579999923706055,0.10629606246948242,0.6214240193367004,0.25171589851379395,0.07294881343841553
19,0,0.09,Test,0.6579999923706055,0.10441440343856812,0.6215512752532959,0.24522462487220764,0.07294881343841553
35,0,0.17,Test,0.6579999923706055,0.08953741192817688,0.6242769956588745,0.1986721307039261,0.07294881343841553
41,0,0.2,Test,0.6579999923706055,0.0840100347995758,0.6259738802909851,0.1831822544336319,0.07294881343841553
45,0,0.22,Test,0.6579999923706055,0.08032858371734619,0.6272866725921631,0.17331092059612274,0.07294881343841553
47,0,0.23,Test,0.6579999923706055,0.07848697900772095,0.6279958486557007,0.16849476099014282,0.07294881343841553
49,0,0.24,Test,0.6579999923706055,0.07664358615875244,0.6287398934364319,0.16375117003917694,0.07294881343841553
43,0,0.21,Test,0.6579999923706055,0.08216935396194458,0.6266125440597534,0.17820484936237335,0.07294881343841553
51,0,0.25,Test,0.6589999794960022,0.07479783892631531,0.629518449306488,0.15907502174377441,0.07294881343841553
31,0,0.15,Test,0.6589999794960022,0.09323197603225708,0.6233370304107666,0.20952259004116058,0.07294881343841553
15,0,0.07,Test,0.6600000262260437,0.10818478465080261,0.6213516592979431,0.25838959217071533,0.07294881343841553
53,0,0.26,Test,0.6600000262260437,0.07294881343841553,0.6303316354751587,0.1544608175754547,0.07294881343841553
21,0,0.1,Test,0.6600000262260437,0.10253798961639404,0.6217309236526489,0.23890088498592377,0.08585119247436523
39,0,0.19,Test,0.6600000262260437,0.08585119247436523,0.6253712773323059,0.18824860453605652,0.08585119247436523
25,0,0.12,Test,0.6600000262260437,0.0988016426563263,0.6222378015518188,0.22672651708126068,0.08769342303276062
27,0,0.13,Test,0.6600000262260437,0.09694090485572815,0.6225607991218567,0.22085896134376526,0.08769342303276062
29,0,0.14,Test,0.6600000262260437,0.09508451819419861,0.6229277849197388,0.21512678265571594,0.08769342303276062
37,0,0.18,Test,0.6600000262260437,0.08769342303276062,0.6248053908348083,0.19340986013412476,0.08769342303276062
23,0,0.11,Test,0.6600000262260437,0.10066720843315125,0.6219605207443237,0.2327379286289215,0.10066720843315125
9,0,0.04,Test,0.6610000133514404,0.11389240622520447,0.621494710445404,0.279598593711853,0.11008024215698242
7,0,0.03,Test,0.6610000133514404,0.11580970883369446,0.6216739416122437,0.2871035933494568,0.11008024215698242
5,0,0.02,Test,0.6610000133514404,0.1177348792552948,0.6219255924224854,0.29484814405441284,0.11008024215698242
13,0,0.06,Test,0.6620000004768372,0.11008024215698242,0.6213371753692627,0.2652537226676941,0.11008024215698242
3,0,0.01,Test,0.6620000004768372,0.11966794729232788,0.6222541928291321,0.30284634232521057,0.11198267340660095
1,0,0.0,Test,0.6620000004768372,0.12159505486488342,0.6226617097854614,0.31105542182922363,0.11198267340660095
11,0,0.05,Test,0.6639999747276306,0.11198267340660095,0.6213836669921875,0.27231940627098083,0.11198267340660095
