,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation
562,1,1.12,Train,0.4941607415676117,-0.4866078794002533,40736.0,-121727.796875
563,1,1.12,Test,0.48724129796028137,-0.4827997088432312,40625.02734375,-119890.6328125
564,2,1.12,Train,0.4918349087238312,-0.48027104139328003,39961.078125,-118397.0
565,2,1.12,Test,0.48764315247535706,-0.5029824376106262,38643.3203125,-119400.2421875
566,3,1.12,Train,0.49203285574913025,-0.4827536940574646,41134.6484375,-122870.3984375
567,3,1.12,Test,0.4926662743091583,-0.49008822441101074,41276.87109375,-123396.8828125
568,4,1.12,Train,0.4995546340942383,-0.4877168834209442,82912.640625,-250344.234375
569,4,1.12,Test,0.4874422252178192,-0.4589788317680359,85936.875,-247813.140625
570,0,1.1400000000000001,Train,0.4922802746295929,-0.47925639152526855,168796.625,-505692.28125
571,0,1.1400000000000001,Test,0.5,-0.49116477370262146,172796.25,-508489.375
572,1,1.1400000000000001,Train,0.49188441038131714,-0.48980897665023804,43118.39453125,-128320.0
573,1,1.1400000000000001,Test,0.48483023047447205,-0.4857926070690155,43006.16015625,-126368.9765625
574,2,1.1400000000000001,Train,0.4917854368686676,-0.4801982641220093,39961.265625,-118397.2265625
575,2,1.1400000000000001,Test,0.48764315247535706,-0.5029824376106262,38643.51953125,-119400.4765625
576,3,1.1400000000000001,Train,0.49203285574913025,-0.4827536940574646,41134.65625,-122870.3984375
577,3,1.1400000000000001,Test,0.4926662743091583,-0.49008822441101074,41276.875,-123396.8984375
578,4,1.1400000000000001,Train,0.4995546340942383,-0.4877168834209442,82912.640625,-250344.234375
579,4,1.1400000000000001,Test,0.4874422252178192,-0.4589788317680359,85936.875,-247813.140625
580,0,1.16,Train,0.4922802746295929,-0.47925639152526855,168796.625,-505692.28125
581,0,1.16,Test,0.5,-0.49116477370262146,172796.25,-508489.375
582,1,1.16,Train,0.49168646335601807,-0.49019432067871094,43118.40234375,-128320.0
583,1,1.16,Test,0.48483023047447205,-0.4857926070690155,43006.171875,-126368.9921875
584,2,1.16,Train,0.48812350630760193,-0.4820252060890198,43535.67578125,-128104.3828125
585,2,1.16,Test,0.48201727867126465,-0.5108344554901123,42102.921875,-129221.5
586,3,1.16,Train,0.4897565245628357,-0.4827970266342163,43485.09765625,-129356.9296875
587,3,1.16,Test,0.489752858877182,-0.4904707968235016,43635.20703125,-129921.3828125
588,4,1.16,Train,0.49737727642059326,-0.4905890226364136,87601.65625,-263471.28125
589,4,1.16,Test,0.4854329824447632,-0.4624861180782318,90801.78125,-260803.578125
590,0,1.18,Train,0.4922802746295929,-0.47925639152526855,168796.625,-505692.3125
591,0,1.18,Test,0.5,-0.49116477370262146,172796.25,-508489.375
592,1,1.18,Train,0.48921218514442444,-0.4903109073638916,45501.328125,-134912.65625
593,1,1.18,Test,0.48201727867126465,-0.48654085397720337,45388.1484375,-132846.046875
594,2,1.18,Train,0.48812350630760193,-0.4820252060890198,43535.68359375,-128104.3984375
595,2,1.18,Test,0.48201727867126465,-0.5108344554901123,42102.9296875,-129221.484375
596,3,1.18,Train,0.4897565245628357,-0.4827970266342163,43485.1015625,-129356.9453125
597,3,1.18,Test,0.489752858877182,-0.4904707968235016,43635.20703125,-129921.3828125
598,4,1.18,Train,0.49737727642059326,-0.4905890226364136,87601.671875,-263471.28125
599,4,1.18,Test,0.4854329824447632,-0.4624861180782318,90801.7890625,-260803.578125
600,0,1.2,Train,0.4922802746295929,-0.47925639152526855,168796.65625,-505692.28125
601,0,1.2,Test,0.5,-0.49116477370262146,172796.25,-508489.4375
602,1,1.2,Train,0.48921218514442444,-0.4903109073638916,45501.3359375,-134912.65625
603,1,1.2,Test,0.48201727867126465,-0.48654085397720337,45388.15234375,-132846.046875
604,2,1.2,Train,0.4862925708293915,-0.4837706983089447,45920.89453125,-134577.9375
605,2,1.2,Test,0.4800080358982086,-0.5106876492500305,44410.89453125,-135769.6875
606,3,1.2,Train,0.4875296950340271,-0.4855617880821228,45846.3984375,-135852.953125
607,3,1.2,Test,0.4879445433616638,-0.49282997846603394,46004.75,-136456.546875
608,4,1.2,Train,0.49737727642059326,-0.4905890226364136,87601.6796875,-263471.3125
609,4,1.2,Test,0.4854329824447632,-0.4624861180782318,90801.8046875,-260803.546875
610,0,1.22,Train,0.4922802746295929,-0.47925639152526855,168796.6875,-505692.3125
611,0,1.22,Test,0.5,-0.49116477370262146,172796.265625,-508489.4375
612,1,1.22,Train,0.4868863821029663,-0.4907933473587036,47900.92578125,-141519.546875
613,1,1.22,Test,0.4780992567539215,-0.49082323908805847,47789.03125,-139338.0625
614,2,1.22,Train,0.4862925708293915,-0.4837706983089447,45920.8984375,-134577.9375
615,2,1.22,Test,0.4800080358982086,-0.5106876492500305,44410.90625,-135769.703125
616,3,1.22,Train,0.4875296950340271,-0.4855617880821228,45846.40234375,-135852.953125
617,3,1.22,Test,0.4879445433616638,-0.49282997846603394,46004.75,-136456.5625
